injection_onto_id, flatten_idx, x,y,z, 267999740, 182805258, 146658879, 113846682
962, 227160, 35, 31, 24,0.000000,0.000000,0.000010,0.000000
962, 236475, 35, 31, 25,0.000000,0.000000,0.000000,0.000000
962, 245790, 35, 31, 26,0.000000,0.000000,0.000000,0.000000
962, 227275, 35, 32, 24,0.000000,0.000000,0.000000,0.000000
962, 236590, 35, 32, 25,0.000000,0.000000,0.000000,0.000000
962, 245905, 35, 32, 26,0.000000,0.000000,0.000000,0.000000
962, 255220, 35, 32, 27,0.000000,0.000000,0.000000,0.000000
962, 227390, 35, 33, 24,0.000000,0.000000,0.000000,0.000000
962, 236705, 35, 33, 25,0.000000,0.000000,0.000000,0.000000
962, 227505, 35, 34, 24,0.000000,0.000000,0.000000,0.000000
962, 227620, 35, 35, 24,0.000000,0.000000,0.000000,0.000000
962, 227735, 35, 36, 24,0.000000,0.000000,0.000000,0.000000
962, 227850, 35, 37, 24,0.000000,0.000000,0.000000,0.000000
962, 291101, 36, 20, 31,0.000003,0.000004,0.000000,0.000000
962, 263386, 36, 22, 28,0.000001,0.000000,0.000000,0.000000
962, 254186, 36, 23, 27,0.000001,0.000000,0.000000,0.000000
962, 263501, 36, 23, 28,0.000000,0.000000,0.000000,0.000000
962, 254301, 36, 24, 27,0.000000,0.000000,0.000000,0.000000
962, 263616, 36, 24, 28,0.000000,0.000000,0.000000,0.000000
962, 245101, 36, 25, 26,0.000000,0.000000,0.000410,0.000000
962, 254416, 36, 25, 27,0.000000,0.000000,0.000000,0.000000
962, 263731, 36, 25, 28,0.000000,0.000000,0.000000,0.000000
962, 245216, 36, 26, 26,0.000000,0.000000,0.000016,0.000000
962, 254531, 36, 26, 27,0.000000,0.000000,0.000000,0.000000
962, 263846, 36, 26, 28,0.000000,0.000000,0.000000,0.000000
962, 236016, 36, 27, 25,0.000000,0.000000,0.000003,0.000000
962, 245331, 36, 27, 26,0.000000,0.000000,0.000001,0.000000
962, 254646, 36, 27, 27,0.000000,0.000000,0.000000,0.000000
962, 263961, 36, 27, 28,0.000000,0.000000,0.000000,0.000000
962, 236131, 36, 28, 25,0.000000,0.000000,0.000000,0.000000
962, 245446, 36, 28, 26,0.000000,0.000000,0.000000,0.000000
962, 254761, 36, 28, 27,0.000000,0.000000,0.000000,0.000000
962, 264076, 36, 28, 28,0.000000,0.000000,0.000000,0.000000
962, 226931, 36, 29, 24,0.000000,0.000000,0.000001,0.000000
962, 236246, 36, 29, 25,0.000000,0.000000,0.000000,0.000000
962, 245561, 36, 29, 26,0.000000,0.000000,0.000000,0.000000
962, 227046, 36, 30, 24,0.000000,0.000000,0.000000,0.000000
962, 236361, 36, 30, 25,0.000000,0.000000,0.000000,0.000000
962, 245676, 36, 30, 26,0.000000,0.000000,0.000000,0.000000
962, 227161, 36, 31, 24,0.000000,0.000000,0.000000,0.000000
962, 236476, 36, 31, 25,0.000000,0.000000,0.000000,0.000000
962, 245791, 36, 31, 26,0.000000,0.000000,0.000000,0.000000
962, 227276, 36, 32, 24,0.000000,0.000000,0.000000,0.000000
962, 236591, 36, 32, 25,0.000000,0.000000,0.000000,0.000000
962, 245906, 36, 32, 26,0.000000,0.000000,0.000000,0.000000
962, 227391, 36, 33, 24,0.000000,0.000000,0.000000,0.000000
962, 236706, 36, 33, 25,0.000000,0.000000,0.000000,0.000000
962, 227506, 36, 34, 24,0.000000,0.000000,0.000000,0.000000
962, 227621, 36, 35, 24,0.000000,0.000000,0.000000,0.000000
962, 227736, 36, 36, 24,0.000000,0.000000,0.000000,0.000000
962, 291102, 37, 20, 31,0.000002,0.000000,0.000000,0.000000
962, 291217, 37, 21, 31,0.000000,0.000000,0.000000,0.000000
962, 263387, 37, 22, 28,0.000000,0.000000,0.000000,0.000000
962, 291332, 37, 22, 31,0.000000,0.000000,0.000000,0.000000
962, 254187, 37, 23, 27,0.000001,0.000000,0.000000,0.000000
962, 263502, 37, 23, 28,0.000000,0.000000,0.000000,0.000000
962, 244987, 37, 24, 26,0.000003,0.000000,0.000013,0.000000
962, 254302, 37, 24, 27,0.000000,0.000000,0.000000,0.000000
962, 263617, 37, 24, 28,0.000000,0.000000,0.000000,0.000000
962, 245102, 37, 25, 26,0.000000,0.000000,0.000028,0.000000
962, 254417, 37, 25, 27,0.000000,0.000000,0.000000,0.000000
962, 263732, 37, 25, 28,0.000000,0.000000,0.000000,0.000000
962, 235902, 37, 26, 25,0.000000,0.000000,0.000059,0.000000
962, 245217, 37, 26, 26,0.000000,0.000000,0.000004,0.000000
962, 254532, 37, 26, 27,0.000000,0.000000,0.000000,0.000000
962, 263847, 37, 26, 28,0.000000,0.000000,0.000000,0.000000
962, 226702, 37, 27, 24,0.000000,0.000004,0.000008,0.000000
962, 236017, 37, 27, 25,0.000000,0.000000,0.000003,0.000000
962, 245332, 37, 27, 26,0.000000,0.000000,0.000000,0.000000
962, 254647, 37, 27, 27,0.000000,0.000000,0.000000,0.000000
962, 226817, 37, 28, 24,0.000000,0.000000,0.000000,0.000000
962, 236132, 37, 28, 25,0.000000,0.000000,0.000000,0.000000
962, 245447, 37, 28, 26,0.000000,0.000000,0.000000,0.000000
962, 226932, 37, 29, 24,0.000000,0.000000,0.000000,0.000000
962, 236247, 37, 29, 25,0.000000,0.000000,0.000000,0.000000
962, 245562, 37, 29, 26,0.000000,0.000000,0.000000,0.000000
962, 227047, 37, 30, 24,0.000000,0.000000,0.000000,0.000000
962, 236362, 37, 30, 25,0.000000,0.000000,0.000000,0.000000
962, 245677, 37, 30, 26,0.000000,0.000000,0.000000,0.000000
962, 227162, 37, 31, 24,0.000000,0.000000,0.000000,0.000000
962, 236477, 37, 31, 25,0.000000,0.000000,0.000000,0.000000
962, 245792, 37, 31, 26,0.000000,0.000000,0.000000,0.000000
962, 217962, 37, 32, 23,0.000000,0.000000,0.000000,0.000000
962, 227277, 37, 32, 24,0.000000,0.000000,0.000000,0.000000
962, 218077, 37, 33, 23,0.000000,0.000000,0.000000,0.000000
962, 227392, 37, 33, 24,0.000000,0.000000,0.000000,0.000000
962, 218192, 37, 34, 23,0.000000,0.000000,0.000000,0.000000
962, 227507, 37, 34, 24,0.000000,0.000000,0.000000,0.000000
962, 227622, 37, 35, 24,0.000000,0.000000,0.000000,0.000000
962, 290988, 38, 19, 31,0.000004,0.000000,0.000000,0.000000
962, 272473, 38, 20, 29,0.000005,0.000084,0.000000,0.000000
962, 281788, 38, 20, 30,0.000002,0.000000,0.000000,0.000000
962, 291103, 38, 20, 31,0.000000,0.000000,0.000000,0.000000
962, 291218, 38, 21, 31,0.000000,0.000000,0.000000,0.000000
962, 254073, 38, 22, 27,0.000002,0.000000,0.000000,0.000000
962, 263388, 38, 22, 28,0.000000,0.000000,0.000000,0.000000
962, 291333, 38, 22, 31,0.000000,0.000000,0.000000,0.000000
962, 244873, 38, 23, 26,0.000053,0.000000,0.000000,0.000000
962, 254188, 38, 23, 27,0.000000,0.000000,0.000000,0.000000
962, 263503, 38, 23, 28,0.000000,0.000000,0.000000,0.000000
962, 291448, 38, 23, 31,0.000000,0.000000,0.000000,0.000000
962, 244988, 38, 24, 26,0.000001,0.000000,0.000000,0.000000
962, 254303, 38, 24, 27,0.000000,0.000000,0.000000,0.000000
962, 263618, 38, 24, 28,0.000000,0.000000,0.000000,0.000000
962, 235788, 38, 25, 25,0.000000,0.000000,0.000039,0.000000
962, 245103, 38, 25, 26,0.000000,0.000000,0.000000,0.000000
962, 254418, 38, 25, 27,0.000000,0.000000,0.000000,0.000000
962, 263733, 38, 25, 28,0.000000,0.000000,0.000000,0.000000
962, 235903, 38, 26, 25,0.000000,0.000000,0.000004,0.000000
962, 245218, 38, 26, 26,0.000000,0.000000,0.000000,0.000000
962, 254533, 38, 26, 27,0.000000,0.000000,0.000000,0.000000
962, 263848, 38, 26, 28,0.000000,0.000000,0.000000,0.000000
962, 226703, 38, 27, 24,0.000000,0.000000,0.000000,0.000000
962, 236018, 38, 27, 25,0.000000,0.000000,0.000000,0.000000
962, 245333, 38, 27, 26,0.000000,0.000000,0.000000,0.000000
962, 226818, 38, 28, 24,0.000000,0.000000,0.000000,0.000000
962, 236133, 38, 28, 25,0.000000,0.000000,0.000000,0.000000
962, 245448, 38, 28, 26,0.000000,0.000000,0.000000,0.000000
962, 226933, 38, 29, 24,0.000000,0.000000,0.000000,0.000000
962, 236248, 38, 29, 25,0.000000,0.000000,0.000000,0.000000
962, 245563, 38, 29, 26,0.000000,0.000000,0.000000,0.000000
962, 217733, 38, 30, 23,0.000000,0.000000,0.000000,0.000000
962, 227048, 38, 30, 24,0.000000,0.000000,0.000000,0.000000
962, 217848, 38, 31, 23,0.000000,0.000000,0.000000,0.000000
962, 217963, 38, 32, 23,0.000000,0.000000,0.000000,0.000000
962, 218078, 38, 33, 23,0.000000,0.000000,0.000000,0.000000
962, 218193, 38, 34, 23,0.000000,0.000000,0.000000,0.000000
962, 227508, 38, 34, 24,0.000000,0.000000,0.000000,0.000000
962, 218308, 38, 35, 23,0.000000,0.000000,0.000000,0.000000
962, 309389, 39, 17, 33,0.000000,0.000000,0.000000,0.000000
962, 318704, 39, 17, 34,0.000000,0.000000,0.000000,0.000000
962, 309504, 39, 18, 33,0.000000,0.000000,0.000000,0.000000
962, 272359, 39, 19, 29,0.000009,0.000095,0.000000,0.000000
962, 290989, 39, 19, 31,0.000000,0.000000,0.000000,0.000000
962, 309619, 39, 19, 33,0.000000,0.000000,0.000000,0.000000
962, 272474, 39, 20, 29,0.000000,0.000017,0.000000,0.000000
962, 281789, 39, 20, 30,0.000000,0.000000,0.000000,0.000000
962, 291104, 39, 20, 31,0.000000,0.000000,0.000000,0.000000
962, 263274, 39, 21, 28,0.000000,0.000000,0.000000,0.000000
962, 272589, 39, 21, 29,0.000000,0.000000,0.000000,0.000000
962, 281904, 39, 21, 30,0.000000,0.000000,0.000000,0.000000
962, 291219, 39, 21, 31,0.000000,0.000000,0.000000,0.000000
962, 254074, 39, 22, 27,0.000000,0.000000,0.000000,0.000000
962, 263389, 39, 22, 28,0.000000,0.000000,0.000000,0.000000
962, 282019, 39, 22, 30,0.000000,0.000000,0.000000,0.000000
962, 291334, 39, 22, 31,0.000000,0.000000,0.000000,0.000000
962, 244874, 39, 23, 26,0.000001,0.000000,0.000000,0.000000
962, 254189, 39, 23, 27,0.000000,0.000000,0.000000,0.000000
962, 263504, 39, 23, 28,0.000000,0.000000,0.000000,0.000000
962, 291449, 39, 23, 31,0.000000,0.000000,0.000000,0.000000
962, 244989, 39, 24, 26,0.000000,0.000000,0.000000,0.000000
962, 254304, 39, 24, 27,0.000000,0.000000,0.000000,0.000000
962, 263619, 39, 24, 28,0.000000,0.000000,0.000000,0.000000
962, 235789, 39, 25, 25,0.000000,0.000000,0.000001,0.000000
962, 245104, 39, 25, 26,0.000000,0.000000,0.000000,0.000000
962, 254419, 39, 25, 27,0.000000,0.000000,0.000000,0.000000
962, 263734, 39, 25, 28,0.000000,0.000000,0.000000,0.000000
962, 226589, 39, 26, 24,0.000000,0.000000,0.000014,0.000000
962, 235904, 39, 26, 25,0.000000,0.000000,0.000000,0.000000
962, 245219, 39, 26, 26,0.000000,0.000000,0.000000,0.000000
962, 226704, 39, 27, 24,0.000000,0.000000,0.000000,0.000000
962, 236019, 39, 27, 25,0.000000,0.000000,0.000000,0.000000
962, 245334, 39, 27, 26,0.000000,0.000000,0.000000,0.000000
962, 226819, 39, 28, 24,0.000000,0.000000,0.000000,0.000000
